"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","2,4","T1","0","La cueillette","","","/t/1/t1.jpg","/t/1/t1.jpg","/t/1/t1.jpg","la-cueillette","la-cueillette.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","380.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun"," Support : bois.
Dimensions : L 97, l 49 cm.
Matière : enduit, miroir, acrylique, vernis.","<p style=""text-align: left;"">"" Je jouis infiniment de la beaut&eacute; douce et tranquille de cette fin d'&eacute;t&eacute;, de ce d&eacute;but d'automne. &nbsp;</p>
<p style=""text-align: left;"">Il y a en cette saison, un parfum de m&eacute;lancolie &eacute;mouvante, suave...Les &acirc;mes sont meilleures, les coeurs plus sensibles... &nbsp;</p>
<p style=""text-align: left;""><strong><span style=""font-size: small;"">Paroles de Poilus</span></strong></p>
<p style=""text-align: left;""><strong><span style=""font-size: small;"">Henry Lange&nbsp;</span></strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","La cueillette","0","simple","",""
"admin","base","Default","simple","5","BOU29","0","Moabi","","","/b/2/b28.jpg","/b/2/b28.jpg","/b/2/b28.jpg","moabi","moabi.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","10.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : perles synthétiques 
perles en bois ciré
Longueur : 5,5 cm
Poids : 5 g","<p style=""text-align: left;"">"" J&rsquo;avais un grand arbre vert (...). &nbsp; &nbsp; Un arbre grand trou&eacute; de lumi&egrave;re</p>
<p style=""text-align: left;"">qui remplissait le haut de mon &acirc;me. &nbsp;&nbsp;<span style=""font-size: small;"">R. Lanier</span><strong style=""font-size: small;"">&nbsp; &nbsp;</strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Moabi","0","simple","",""
"admin","base","Default","simple","3,5","BOU4","0","Chrysolite","","","/e/5/e5.jpg","/e/5/e5.jpg","/e/5/e5.jpg","chrysotile","chrysotile.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","16.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : fil acier, perles de rocaille, 
perles en métal
goutte pâte de verre.
Longueur : 8 cm
poids : 13 g","<p style=""text-align: left;"">"" Le soleil gonfle de ses feux les tr&eacute;sors dont l'automne en riant se couronne "" &nbsp;&nbsp;<strong><span style=""font-size: small;"">C . Delav</span></strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Chrysolite","0","simple","",""
"admin","base","Default","simple","5","BOU33","0","Rose noire","rose noire","Osez l'originalité en arborant cette paire de boucles d'oreilles unique.","/c/1/c16recto.jpg","/c/1/c16recto.jpg","/c/1/c16recto.jpg","rose-noire","rose-noire.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","15.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : manche de cuillère inox patiné.
Longueur : 6,5 cm
poids : 6 g
","<p style=""text-align: left;"">"" Tu es comme une rose noire, parmi les fleurs de mon jardin."" &nbsp;</p>
<p style=""text-align: left;""><span style=""font-size: small;"">G. Lenorman</span></p>","bijoux;rose;noire;inox;cuillère;manche;patine;métal;longue.","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","0","0","1","0.0000","1","0","0","0","1","Rose noire","0","simple","",""
"admin","base","Default","simple","3,5","BOU1","0","Guepe","","","/c/1/c1.jpg","/c/1/c1.jpg","/c/1/c1.jpg","guepe","guepe.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","14.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière :perles en métal et résine.
Longueur : 3,5 cm
poids : 3 g
","<p style=""text-align: left;"">"" Autour du compotier &nbsp;de reines-Claude, une gu&ecirc;pe bourdonnait.</p>
<p style=""text-align: left;"">Et toute la maison semblait ronronner..."" &nbsp;<span style=""font-size: small;"">R. Martin du Gar</span><strong><span style=""font-size: small;"">&nbsp;&nbsp;</span></strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Guepe","0","simple","",""
"admin","base","Default","simple","2,4","M1","0","Fibule","","","/6/2/62.jpg","/6/2/62.jpg","","fibule","fibule.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","345.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","support : bois, miroir.
Dimensions : 80 cm sur 59 cm
Matière : enduit, acrylique, clous de tapissier.","<p style=""text-align: left;"">"" Tant que l'on n'a pas trouv&eacute; int&eacute;rieurement ce que l'on cherche au-dehors, on passera &agrave; c&ocirc;t&eacute; sans le voir, car le monde ext&eacute;rieur n'est qu'un reflet de notre monde int&eacute;rieur.""</p>
<p style=""text-align: left;""><strong><span style=""font-size: small;"">Omraam Mikha&euml;l A&iuml;vanhov&nbsp;</span></strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Fibule","0","simple","",""
"admin","base","Default","simple","2,4","T2","0","Femme","","","/5/9/59.jpg","/5/9/59.jpg","","femme","femme.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","380.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Support : bois.
dimensions : L 98 cm, l 49 cm.
Matière : miroir, enduit, acrylique, vernis.","<p style=""text-align: left;"">"" Ce qui touche jusqu&rsquo;aux larmes ceux qui assistent &agrave; ce spectacle, c'est le regard extatique qu'une belle jeune femme jette &agrave; son mari. On y ressent toute la m&eacute;lancolie de l&rsquo;automne, tant &agrave; cause de l'immensit&eacute; qu'&agrave; cause de la p&eacute;rissabilit&eacute; du bonheur humain."" &nbsp; &nbsp;</p>
<p style=""text-align: left;""><span style=""font-size: small;""><strong>Nietzsche</strong></span></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Femme","0","simple","",""
"admin","base","Default","simple","5","BOU34","0","Angelique","","","/5/3/53.jpg","/5/3/53.jpg","","angelique","angelique.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","10.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : perles de rocaille, 
perle en bois patiné, graine.
Longueur : 4 cm
Poids : 2 g","<p style=""text-align: left;"">""Ang&eacute;lique du soir, m&eacute;sange des beaux jours. Ang&eacute;lique d&rsquo;espoir, Ang&eacute;lique d&rsquo;amour. "" &nbsp;</p>
<p style=""text-align: left;""><span style=""font-size: small;"">R. Desnos</span></p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-07-21 05:33:17","","1","1","0","1","1","0.0000","1","0","0","1","1","Angelique","0","simple","",""
"admin","base","Default","simple","3,5","BOU9","0","Manilkara","","","/d/1/d18.jpg","/d/1/d18.jpg","/d/1/d18.jpg","manilkara","manilkara.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","16.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : fil acier, bouton métal,
cuillère inox, perle synthétique.
Longueur : 6 cm
Poids : 23 g","<p style=""text-align: left;"">"" L'automne est une demeure d'or et de pluie. "" &nbsp;<strong><span style=""font-size: small;"">J. CHessex</span></strong></p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-07-20 15:21:44","","1","1","0","1","1","0.0000","1","0","0","1","1","Manilkara","0","simple","",""
"admin","base","Default","simple","3,5","BOU6","0","Calopsis","","","/d/3/d3.jpg","/d/3/d3.jpg","/d/3/d3.jpg","calopsis","calopsis.html","","Aucune mise à jour de mise en page","Colonne d'informations du Produit","","",""," ","Utiliser config","Utiliser config","Non","13.0000","","0.0000","","Activé","Non","Catalogue, Recherche","aucun","Matière : perles plates en métal, 
perles en verre. 
Longueur : 3,5 cm
Poids : 4 g","<p style=""text-align: left;"">"" Petite feuille verte</p>
<p style=""text-align: left;"">bouge dans l'arbre... &nbsp;</p>
<p style=""text-align: left;"">Chut&nbsp;!!! voici l'automne.""</p>
<p style=""text-align: left;""><strong><span style=""font-size: small;"">Comptine &nbsp;</span></strong></p>","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Calopsis","0","simple","",""
